Name,Command
Disable_Enter_RTC_Mode,055a05000d0a1cf401
Stop_UI_Tone,055a0a00812cff00000001010101
MTK_Prepare_Reset,055a0400142c0000
Enter_Factory_Mode,055a03003f0101
Read_Test_Mode,055a02004001
Read_Bundle_Version,055a02000980
Read_BNI_Version,055a02000980
Read_MT_FW_Version,055a02000103
Read_MT_EREG_CID,055a1800920f41542b455245473d302c307834323043303230380d0a
Read_MT_Chip_ID,055A02000703
Read_MT_SFlash_ID,055a1000920f41542b53464c4153483d49440d0a
Read_MT_UID,055a02000603
Read_MT_Dummy_BT_Address,055a1600920f41542b42544c4f43414c414444523d4745540d0a
Set_GPIO22_To_High,055a2a00920f41542b454750494f3d4750494f5f5345545f414c4c3a32322c302c312c312c322c305c725c6e0d0a
Set_GPIO05_To_High,055a2600920f41542b454750494f3d4750494f5f5345545f414c4c3a30352c372c302c302c322c300d0a
Set_GPIO36_To_High,055A2600920F41542B454750494F3D4750494F5F5345545F414C4C3A33362C352C302C302C322C300D0A
Set_GPIO35_To_High,055A2600920F41542B454750494F3D4750494F5F5345545F414C4C3A33352C352C302C302C322C300D0A
Enable_HWID,055A2600920F41542B454750494F3D4750494F5F5345545F414C4C3A33392C302C312C312C322C300D0A
Read_MLB_HWID,055A1200920F41542B454155584144433D342C310D0A
Read_EAUXADC,055a1200920f41542b454155584144433d312c310d0a
Disable_HWID,055A2600920F41542B454750494F3D4750494F5F5345545F414C4C3A33392C302C312C302C322C300D0A
Set_GPIO22_To_Low,055a2a00920f41542b454750494f3d4750494f5f5345545f414c4c3a32322c302c312c302c322c305c725c6e0d0a
Set_GPIO05_To_Low,
Read_Mogul_State,055a0300058000
Lock_Mogul,055a0300058001
Set_I2C0_SDA_To_No_Pull_Up_Or_Down,055a2600920f41542b454750494f3d4750494f5f5345545f414c4c3a31382c352c302c302c322c300d0a
Set_I2C0_SCL_To_No_Pull_Up_Or_Down,055a2600920f41542b454750494f3d4750494f5f5345545f414c4c3a31392c352c302c302c322c300d0a
Set_MFI_GPIO36_To_I2C0_SDA_No_Pull_Up_Down,055A2600920F41542B454750494F3D4750494F5F5345545F414C4C3A33362C352C302C302C322C300D0A
Set_MFI_GPIO35_To_I2C0_SCL_No_Pull_Up_Down,055A2600920F41542B454750494F3D4750494F5F5345545F414C4C3A33352C352C302C302C322C300D0A
Read_Mogul_ID,055a160008500000100100000001000000010000000100000000
Read_Mogul_Cert_Data_1,055a0300028001
Read_Mogul_Cert_Data_2,055a0300028002
Read_Mogul_Cert_Data_3,055a0300028003
Read_Mogul_Cert_Data_4,055a0300028004
Read_Mogul_Cert_Data_5,055a0300028005
Read_MLB_SN,055a060010804d4c4223
Read_MLB_BCFG,055a0600108042434647
Read_SIDE,055a0600108053494445
Disable_GPIO23_Control,055a0400132c2401
Set_GPIO23_To_High,055a2a00920f41542b454750494f3d4750494f5f5345545f414c4c3a32332c302c312c312c322c305c725c6e0d0a
Set_GPIO00_To_Low,055a2600920f41542b454750494f3d4750494f5f5345545f414c4c3a30302c302c312c302c322c300d0a
Un_Nesting,055a1500920f41542b534d433d6262695f756e6e6573740d0a
Lock_Sleep_twice,055a1400920f41542b534d3d4c4f434b2c312c534c500d0a
Check_Pending_Image,055a03000f8000
Block_GG_Servicing,055a0300418001
Unblock_GG_Servicing,055a0300418000
Read_MT_CID,055a0f00920f41542b455245473d4349440d0a
Enter_Off_Mode,055A1800920F41542B45504D555245473D5057524F46462C302C3031
